"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"AnnotationDbi","AnnotationDbi","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.56.2",NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, RUnit,
TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db, reactome.db,
AnnotationForge, graph, EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"AnnotationHub","AnnotationHub","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.2.0",NA,"BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)","utils, methods, grDevices, RSQLite, BiocManager, BiocVersion,
curl, rappdirs, AnnotationDbi (>= 1.31.19), S4Vectors,
interactiveDisplayBase, httr, yaml, dplyr",NA,"IRanges, GenomicRanges, GenomeInfoDb, VariantAnnotation,
Rsamtools, rtracklayer, BiocStyle, knitr, AnnotationForge,
rBiopaxParser, RUnit, GenomicFeatures, MSnbase, mzR,
Biostrings, SummarizedExperiment, ExperimentHub, gdsfmt,
rmarkdown, HubPub","AnnotationHubData","Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"ape","ape","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","5.5",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"aplot","aplot","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1.1",NA,NA,"ggfun (>= 0.0.4), ggplot2, ggplotify, patchwork, magrittr,
methods, utils, yulab.utils",NA,"ggtree",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"askpass","askpass","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"assertthat","assertthat","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"babelgene","babelgene","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","21.4",NA,"R (>= 3.3)","dplyr, methods, rlang",NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"backports","backports","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.3.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"base64enc","base64enc","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
